LOAN  #,Account Number,Status,DEALER,NAME,YEAR,MAKE,MODEL,VIN,GAAP DATE,NOI SENT,DAFS,DATE SOLD,C/O DATE,MONTHS IN INVENTORY,LOCATION,SOLD TO,MILEAGE,CR Grade,CHARGEABLE DAMAGES,BALANCE REPO DATE,AWV,MMR,CASH PRICE,ESTIMATED RECOVERY %,CURRENT MO PROCEEDS ESTIMATE,EOM GAAP PROCEEDS ESTIMATE,ACTUAL PROCEEDS,BACK END PRODUCT CANCELLATION,INSURANCE CLAIMS,GROSS C/O AMT,UNEARNED DISCOUNT,NET LOSS OR GAIN,RECOVERY,REM BAL,CASH OR NEW A/C#?,REASON / COMMENTS,Notes,EXCEPTION?,EXCEPTION DETAIL,Same Month Sale,MIN VAL,GAIN (LOSS),% DIFF,REPO_MONTH,REPO_ALLOW2 (HIST),Proforma NRV,Proforma G/L,Proforma Difference
1002.1,1,Sold,Q MOTORCARS,,2006.0,FORD,EXPEDITION,,01/23/2013,01/23/2013,02/04/2013,10/30/2013,10/30/2013,99.9,SOLD,TEXAS CAN,,,0.0,12637.18,5000.0,,,,0.0,0.0,3750.0,0.0,0.0,-8887.18,1496.515342,-7390.664658,0.0,-7390.664658,CASH,,,,,0,5000.0,-1250.0,-0.25,Jan-13,,,,
1003.1,1,OCO,N TX AUTOS,,,,,,12/27/2013,,,,06/20/2014,88.6,,,,,0.0,2267.84,,,,,0.0,0.0,,0.0,0.0,-2267.84,648.42,-1619.42,0.0,-1619.42,,INSURANCE DEFICIENCY,,,,0,,,,Dec-13,,,,
1005.1,1,Sold,MIDCITY,,2008.0,DODGE,NITRO,1D8GU58628W118182,03/06/2015,03/06/2015,03/16/2015,07/28/2015,07/29/2015,74.2,MIDCITY,MONTE HALE,173180.0,,0.0,12063.04,10475.0,6275.0,7500.0,,0.0,4017.36,4000.0,0.0,0.0,-8063.04,542.46,-7520.58,0.0,-7520.58,CASH,,,,,0,6275.0,-2275.0,-0.36254980079681276,Mar-15,,,,
1008.1,1,Sold,DESTINY,,2007.0,NISSAN,ALTIMA,,11/23/2013,11/25/2013,12/05/2013,12/09/2013,01/28/2014,89.8,SOLD,MIDCITY,112900.0,,0.0,9825.37,7425.0,,,,0.0,0.0,7383.0,0.0,0.0,-2442.37,1079.873781,-1362.496219,0.0,-1362.496219,ACCT 1820,,,,,0,7425.0,-42.0,-0.0056565656565656566,Nov-13,,,,
1011.1,1,Sold,MIDCITY,,2008.0,MERCURY,SABLE,,02/28/2014,,02/28/2014,03/08/2014,07/01/2014,86.5,SOLD,HEB,132677.0,,0.0,10439.55,6525.0,,,,0.0,0.0,6329.0,0.0,0.0,-4110.55,1250.38,-2860.17,0.0,-2860.17,ACCT 1992,,,,,0,6525.0,-196.0,-0.03003831417624521,Feb-14,,,,
1013.1,1,Sold,All PRO,,2002.0,HONDA,CRV,,01/14/2013,01/14/2013,01/24/2013,03/11/2013,03/24/2013,100.2,SOLD,ALL PRO,,,0.0,8079.64,,,,,0.0,0.0,6589.0,0.0,0.0,-1490.64,1373.189151,-117.4508493,0.0,-117.4508493,ACCT 1252,,,,,0,,,,Jan-13,,,,
1014.1,1,Sold,AUTO LIMITS,,2006.0,VW,PASSAT,,08/29/2013,08/29/2013,09/09/2013,10/17/2013,11/29/2013,92.6,SOLD,MIDCITY,,,0.0,8544.53,5550.0,,,,0.0,0.0,6157.0,0.0,0.0,-2387.53,877.4865753,-1510.043425,0.0,-1510.043425,ACCT 1738,,,,,0,5550.0,607.0,0.10936936936936936,Aug-13,,,,
1018.1,1,Sold,REAGOR AUTO MALL,,2006.0,VOLKSWAGEN,PASSAT,WVWAK73C26P153704,05/05/2014,,05/05/2014,04/29/2015,04/29/2015,84.3,COPART,MONTY HALE,130799.0,,0.0,6190.19,4400.0,4639.0,4000.0,,0.0,0.0,1000.0,0.0,0.0,-5190.19,701.18,-4489.01,0.0,-4489.01,CASH,,,,,0,4000.0,-3000.0,-0.75,May-14,,,,
1019.1,1,Sold,JENO,,2006.0,VOLKSWAGEN,JETTA,,01/31/2014,,01/31/2014,10/15/2014,10/15/2014,87.5,Q MOTORCARS,TEXAS CAN,102922.0,,0.0,7085.79,5450.0,,,,0.0,0.0,1950.0,0.0,0.0,-5135.79,776.3,-4359.49,0.0,-4359.49,CASH,,,,,0,5450.0,-3500.0,-0.6422018348623854,Jan-14,,,,
1021.1,1,Sold,MIDCITY,,2001.0,TOYOTA,4-RUNNER,,01/28/2014,01/28/2014,02/07/2014,03/19/2014,03/31/2014,87.6,SOLD,ALLIANCE AA,141360.0,,0.0,7003.91,5175.0,,,,0.0,0.0,2740.0,0.0,0.0,-4263.91,206.44,-4057.47,0.0,-4057.47,CASH,,,,,0,5175.0,-2435.0,-0.47053140096618357,Jan-14,,,,
